Topic,Word_Number,Word,Weight
0,0,star,1387.1129211873192
0,1,formation,1046.8442428458886
0,2,cloud,734.4917793658506
0,3,molecular,689.6202944741414
0,4,cluster,647.6042339955308
0,5,gas,611.2059687013531
0,6,galaxy,544.14994710752
0,7,dense,479.04565570298087
0,8,region,363.38700984463367
0,9,form,359.08167090470675
1,0,hole,245.81838152126053
1,1,black,230.23534348555577
1,2,sgr,108.33117604697907
1,3,supermassive,88.59780033508437
1,4,observation,58.1037835921644
1,5,galactic,50.802848399932785
1,6,scale,44.698825441590984
1,7,horizon,31.53079795401436
1,8,image,29.122772764425598
1,9,provide,26.725560045830324
2,0,gas,662.921600091512
2,1,molecular,448.81084441306353
2,2,galaxy,440.15847550703506
2,3,agn,365.3296034362372
2,4,dense,237.58711965426681
2,5,starburst,181.99250919961386
2,6,study,163.69231489080508
2,7,nuclear,132.17645533966473
2,8,observation,120.8060480167771
2,9,hco,120.51439762718638
3,0,filament,504.98915973126526
3,1,shock,300.0795995922193
3,2,cloud,136.9534487258824
3,3,gas,129.57189571925326
3,4,molecular,125.90064447727522
3,5,dense,102.9649036852539
3,6,filamentary,97.97746423133205
3,7,formation,93.51442482447831
3,8,sio,89.43984984049943
3,9,structure,79.64985438013342
4,0,gas,188.69916625750048
4,1,molecular,82.28632237536425
4,2,galaxy,65.96905925313364
4,3,strip,63.85182676548161
4,4,pressure,52.91946956864354
4,5,cluster,51.264774545088144
4,6,tail,45.64677255886314
4,7,observation,43.96390027283743
4,8,sf,42.61574228979692
4,9,cnd,38.544614194842495
5,0,disk,136.90272038426312
5,1,mass,89.64898276983467
5,2,dust,76.56934109428379
5,3,trap,73.70978954005727
5,4,planet,46.211095256457966
5,5,circumbinary,36.03021065670549
5,6,formation,35.586787731926606
5,7,stellar,33.68355051869826
5,8,structure,29.037514419196782
5,9,protoplanetary,27.880754920210798
6,0,star,142.7620932204399
6,1,infall,131.81120890786133
6,2,envelope,115.34034606333182
6,3,binary,110.39314309810094
6,4,nebula,103.90558066004579
6,5,agb,97.35982886501085
6,6,evolution,95.43921071323938
6,7,shell,92.30232396888412
6,8,mass,91.9769615702759
6,9,outflow,86.10172954570754
7,0,comet,132.4864151754354
7,1,isotopic,73.86582931811392
7,2,solar,64.68151471037959
7,3,cometary,63.90918706624239
7,4,system,61.26172320166117
7,5,specie,57.44893250362671
7,6,host,50.736050160552445
7,7,coma,50.01999999999331
7,8,ice,43.48393722859129
7,9,origin,43.192312821062224
8,0,jet,701.329305659755
8,1,launch,130.2212213584734
8,2,angular,76.84474781268842
8,3,rotation,75.02046925702483
8,4,wind,73.11506866987493
8,5,momentum,54.22584982059397
8,6,protostellar,50.65768127136454
8,7,interaction,48.62318834805928
8,8,disk,45.05570022992782
8,9,collimate,44.56020862787513
9,0,gap,217.12303207017717
9,1,cavity,178.47076596520031
9,2,disk,149.08070922939967
9,3,planet,101.12605389550116
9,4,gas,82.91188788757404
9,5,inner,82.11165395238247
9,6,transitional,69.45004159567948
9,7,dust,62.40528755659078
9,8,structure,60.86457790704698
9,9,observation,50.473869870164364
10,0,galaxy,43.64839833834203
10,1,sulphur,42.019119441173586
10,2,gas,37.07944289676601
10,3,double,32.391756007348015
10,4,observation,29.478613653508194
10,5,provide,21.923367314643716
10,6,formation,19.835445812318493
10,7,ionization,19.039542745062043
10,8,barred,18.97852061635283
10,9,bar,18.471566920631744
11,0,star,377.45298810080584
11,1,disk,314.7363840168849
11,2,mass,297.17399822175895
11,3,massive,235.8788592216158
11,4,formation,210.6620855909211
11,5,binary,132.49843584804154
11,6,observation,102.41037817842826
11,7,form,94.83948608055833
11,8,around,87.36196415376287
11,9,accretion,74.02104105036693
12,0,spiral,245.85312043530007
12,1,arm,130.41132996649947
12,2,chemical,83.46124561652344
12,3,ionization,58.27909493997328
12,4,dust,48.381665531723606
12,5,structure,41.616282135631494
12,6,observation,40.74817581211083
12,7,observe,38.01053939132202
12,8,density,34.781418918134094
12,9,line,31.855785835392275
13,0,disc,131.59644272558944
13,1,star,95.73910795231444
13,2,galaxy,78.1120196371734
13,3,formation,72.18544253092024
13,4,feedback,58.353837442615166
13,5,mass,57.55174987680387
13,6,gas,57.266997490055964
13,7,observation,44.53088782204274
13,8,dust,39.630523375017646
13,9,scale,31.305412149984086
14,0,mass,70.9182421881826
14,1,line,67.69467302491697
14,2,atmosphere,62.29890604061528
14,3,titan,58.15238562681293
14,4,star,37.111039262571566
14,5,loss,34.944354561246
14,6,molecule,32.60292139131952
14,7,observe,29.41586962203892
14,8,wind,26.787571912744653
14,9,cassini,25.907285770793838
15,0,absorption,158.97279509459085
15,1,gas,91.09390321268728
15,2,line,80.8618685907972
15,3,molecular,64.13757140215355
15,4,galactic,56.259091370934264
15,5,observation,55.35546210298205
15,6,hco,42.362888499270404
15,7,transition,41.81521853334565
15,8,center,36.490868046151135
15,9,redshift,34.48085782012769
16,0,mass,473.6886494063348
16,1,quasar,361.8663795975243
16,2,galaxy,320.05989021853304
16,3,black,262.9492580884042
16,4,hole,262.2797363794641
16,5,gas,226.4202738947133
16,6,host,203.2291626967073
16,7,observation,179.26741744143004
16,8,massive,167.18479870040952
16,9,measurement,130.32551863859763
17,0,clump,298.0240459429817
17,1,dark,209.86239313311196
17,2,matter,120.89303859023092
17,3,turbulence,46.2930990772567
17,4,mass,39.91952976857805
17,5,halo,33.67803688079771
17,6,diffuse,32.58126286043766
17,7,test,27.295436557027717
17,8,cloud,27.265027646625043
17,9,prediction,23.46032041906718
18,0,ray,174.9738647596902
18,1,grb,85.01999999999762
18,2,shock,83.54868485418106
18,3,cosmic,70.5518680732397
18,4,host,66.33799108171658
18,5,line,61.41299804551708
18,6,molecular,60.92475433972892
18,7,observation,58.48107914542011
18,8,study,51.10035535013219
18,9,supernova,50.00377981621341
19,0,jet,143.0097780463004
19,1,eht,82.01999974599686
19,2,observation,72.2668550234047
19,3,image,59.96072130640493
19,4,accretion,56.40316509650038
19,5,radio,52.5409314187193
19,6,vlbi,46.717497416879574
19,7,gmva,42.019999999997744
19,8,provide,39.29887494658004
19,9,smbh,39.015933011660856
20,0,observation,212.4474021432363
20,1,cluster,190.37052632645074
20,2,outflow,174.5407147951737
20,3,gas,115.45868023463082
20,4,line,113.2159929057872
20,5,molecular,110.00423145110466
20,6,study,60.37082608785974
20,7,qsos,58.161102185447675
20,8,qso,43.602623559783424
20,9,extend,40.16922831640862
21,0,galaxy,195.7557041615536
21,1,quench,129.26950685526745
21,2,post,105.88163883861353
21,3,gas,99.87866111584883
21,4,starburst,83.24126092189526
21,5,reservoir,42.321729437972806
21,6,molecular,36.239731997358035
21,7,massive,35.53465520503312
21,8,merger,33.61809259052372
21,9,star,31.76206162488044
22,0,disk,373.36000808587795
22,1,core,326.45889813791695
22,2,mass,268.5734258303022
22,3,star,230.1078006965049
22,4,formation,214.1172618879032
22,5,protostellar,160.6546768603121
22,6,protostars,146.6632494188312
22,7,fragmentation,142.69030053416458
22,8,form,138.58856288895333
22,9,initial,102.62365337140827
23,0,quasar,60.89232665634829
23,1,deuteration,30.35720598522862
23,2,agn,27.995481954737194
23,3,galaxy,27.58248576781577
23,4,observation,21.19878206906179
23,5,con,21.01999999999833
23,6,aqr,19.916296805288304
23,7,host,19.433773242355567
23,8,scale,17.589328441676237
23,9,line,17.16796208944017
24,0,magnetic,505.28298841875505
24,1,field,242.1126658598097
24,2,polarization,223.38270351976638
24,3,disk,120.82182165366531
24,4,observation,83.59018659857604
24,5,strength,76.80025645781596
24,6,morphology,55.956255527473225
24,7,dust,54.85825334956787
24,8,effect,50.31089934925966
24,9,role,48.676254953915375
25,0,galaxy,1683.9828065093204
25,1,star,1059.4188564033864
25,2,gas,814.2116232116841
25,3,formation,599.1537303486805
25,4,form,467.51467703326136
25,5,redshift,293.4253317100945
25,6,observation,257.74307354011444
25,7,mass,254.51723357484133
25,8,molecular,253.25448458939962
25,9,dust,251.43157255960688
26,0,disk,966.2148139128675
26,1,planet,344.2056852561513
26,2,mass,302.4977986057801
26,3,dust,271.49455011328007
26,4,formation,225.71015979789286
26,5,observation,167.66932263816253
26,6,gas,135.28471625086402
26,7,around,132.90516448809203
26,8,young,121.94032222051537
26,9,form,119.21797830216013
27,0,core,588.8114098113583
27,1,massive,430.04818581320194
27,2,mass,418.1353416324652
27,3,star,392.10591072863696
27,4,accretion,337.32179269328753
27,5,scale,260.01136273801797
27,6,formation,201.633237847117
27,7,observation,142.57578898269904
27,8,structure,125.29555562428257
27,9,outflow,113.65749962605447
28,0,gas,598.250107696445
28,1,molecular,416.13800993516116
28,2,galaxy,295.9699104850319
28,3,bar,194.52257784568235
28,4,cloud,156.78463163783755
28,5,formation,151.41193624389322
28,6,merger,144.53995928421853
28,7,star,142.4412948146905
28,8,study,120.25654649582957
28,9,rich,92.37277908182021
29,0,ic,46.74747251563502
29,1,snrs,28.5999182809019
29,2,stellar,26.879501319285545
29,3,remnant,23.32636433640507
29,4,cloud,23.297082157904025
29,5,isotope,21.739642054033872
29,6,acceleration,21.717427466999187
29,7,observation,21.054799562013866
29,8,ray,19.512892593331554
29,9,galactic,18.4959886568074
30,0,galaxy,158.59594502264295
30,1,absorption,69.57630460774354
30,2,source,63.567600736870496
30,3,hi,60.663620871097336
30,4,redshift,54.63737014177702
30,5,cluster,46.383145863789146
30,6,lensed,45.27663566862836
30,7,select,40.274372302964366
30,8,system,39.63306001675108
30,9,detect,39.23606036850999
31,0,agb,163.01831129967377
31,1,star,140.46240180416996
31,2,torus,97.08713274502523
31,3,stellar,56.325752158916046
31,4,nucleus,46.51707904702786
31,5,loss,45.3401477639068
31,6,giant,36.367367515925594
31,7,asymptotic,35.62809527676548
31,8,branch,34.660645808424135
31,9,surface,27.653238866177368
32,0,chemical,219.24631695901726
32,1,protostars,173.18364752106453
32,2,mass,156.7509262562357
32,3,observation,146.77523453991103
32,4,chemistry,126.10072476584577
32,5,source,121.89628232805876
32,6,molecule,117.12832607516224
32,7,envelope,110.37113744694325
32,8,disk,109.19140102406595
32,9,protostellar,107.96543698522933
33,0,disk,753.5707238203488
33,1,gas,424.08465591212615
33,2,debris,240.02820751441925
33,3,star,142.4634291379091
33,4,dust,130.49282474866288
33,5,system,108.57725619796909
33,6,around,103.96870582351983
33,7,planet,102.83398460356779
33,8,evolution,93.04975707568866
33,9,observation,67.52083691308032
34,0,water,131.41324262592897
34,1,star,106.25943171850115
34,2,study,49.37490283116263
34,3,form,42.117102923353414
34,4,hdo,39.324527819317105
34,5,cloud,37.28846045911578
34,6,gas,37.01261360892587
34,7,formation,36.28015403658736
34,8,observation,33.17481658808068
34,9,region,31.983485220135552
35,0,observation,21.445596373540127
35,1,mass,20.254120367895048
35,2,line,18.56248659892477
35,3,project,18.025275369358656
35,4,torus,17.435200589354782
35,5,stellar,16.945412186777467
35,6,study,16.24626747333474
35,7,agn,15.183119024960542
35,8,image,14.51248234463684
35,9,structure,14.427788300801057
36,0,ci,386.4508607112039
36,1,cloud,112.76696510771525
36,2,molecular,83.96053593822471
36,3,observation,64.94915868621179
36,4,atomic,50.64008664408399
36,5,cgm,46.35881874718638
36,6,star,45.78094461400593
36,7,pdr,44.77711590302034
36,8,mass,40.17706339394565
36,9,study,39.913561955777986
37,0,gas,99.58832274000241
37,1,galaxy,95.32127500822294
37,2,dust,55.08134214952883
37,3,molecular,51.637285776804994
37,4,mass,31.86347001655184
37,5,tracer,20.215027935725487
37,6,nearby,19.449273744432848
37,7,property,18.076108634095625
37,8,content,18.025462858942745
37,9,measurement,17.149665961573778
38,0,line,158.61336705629213
38,1,galaxy,89.98490846979854
38,2,luminosity,48.12395125239525
38,3,infrared,47.6015142680515
38,4,observation,39.39667063222953
38,5,region,35.36012783488584
38,6,vibrationally,31.48006988403168
38,7,physical,30.627284391920526
38,8,redshift,28.088475534766644
38,9,obscure,27.54870113866051
39,0,line,34.71763877366898
39,1,dust,32.27724240243339
39,2,observe,21.393070348728166
39,3,massive,20.044163284039147
39,4,star,16.22664422902699
39,5,euv,14.91287373734731
39,6,observation,14.2230236735738
39,7,outflow,13.910465733497967
39,8,scale,13.672857500453393
39,9,image,13.521540918481543
40,0,disk,830.6402704187816
40,1,system,331.5560713631489
40,2,planet,322.69301967986985
40,3,observation,263.9070766124138
40,4,dust,244.56993255441208
40,5,structure,175.95468749406032
40,6,ring,153.67763182347693
40,7,star,135.03619332131984
40,8,debris,130.15272935660215
40,9,protoplanetary,112.51388084436658
41,0,maser,312.6257499000478
41,1,dust,211.74024925097999
41,2,observation,201.16181538785412
41,3,line,177.34254572603126
41,4,mass,166.81623545261158
41,5,disk,116.14075599229899
41,6,star,112.52985867101265
41,7,wind,78.40259721047498
41,8,region,76.72005361115407
41,9,water,76.70858444355267
42,0,line,235.15907454487788
42,1,mass,105.75978391519088
42,2,observation,105.35725912181775
42,3,velocity,92.0673683284534
42,4,region,82.54366335655347
42,5,use,70.44208416860089
42,6,observe,67.79483945518143
42,7,molecular,62.75085343423762
42,8,compact,61.80884412959737
42,9,gas,61.07618017989464
43,0,galaxy,542.7821440264765
43,1,cii,514.8384756780871
43,2,observation,273.7780714770084
43,3,line,246.0236947416588
43,4,dust,207.82206710565853
43,5,redshift,182.0195068779325
43,6,continuum,142.9997039582935
43,7,um,130.57748569409594
43,8,ism,126.89664646231294
43,9,star,125.6692275901255
44,0,gas,188.82341923047474
44,1,line,125.92053637970731
44,2,star,100.25839441746527
44,3,molecular,92.6593341174313
44,4,formation,75.92234452313743
44,5,galaxy,73.99669774860288
44,6,study,66.39767507500854
44,7,ism,63.122797605131005
44,8,dust,55.767171592701075
44,9,reservoir,42.49996487710351
45,0,galaxy,75.83426970854607
45,1,oiii,62.893139991689004
45,2,bulge,36.990744587552655
45,3,source,30.84599935541417
45,4,dust,23.37138995838369
45,5,image,23.001049570627885
45,6,telescope,22.428531786391897
45,7,use,21.957599529057106
45,8,stellar,20.98135088182351
45,9,inner,20.24126717829862
46,0,outflow,795.0105543349034
46,1,molecular,504.0625472997167
46,2,gas,475.0882515684484
46,3,agn,351.86686696701355
46,4,feedback,312.8945746652894
46,5,galaxy,300.22354881898883
46,6,radio,194.53850583137577
46,7,observation,168.07489033405514
46,8,star,117.19950617659623
46,9,cold,115.41599797016848
47,0,disk,1015.763628800111
47,1,line,238.77293225256287
47,2,observation,196.3657100278999
47,3,planet,173.8669596715304
47,4,formation,167.00901805974178
47,5,water,135.42424324897343
47,6,around,125.01117419496748
47,7,protoplanetary,123.61492766893534
47,8,class,94.07109581813752
47,9,accretion,89.36816581362254
48,0,burst,90.45804454871887
48,1,luminosity,87.68765516575586
48,2,line,61.61421685442871
48,3,luminous,45.299801171096554
48,4,observation,39.96064693686452
48,5,galaxy,36.32375325234669
48,6,object,34.613432257707366
48,7,molecular,33.952499179087916
48,8,accretion,32.48673699782008
48,9,curve,30.176033342421515
49,0,molecule,276.28175459275474
49,1,abundance,239.90525146339112
49,2,chemistry,234.15927341311306
49,3,chemical,207.23975798288762
49,4,ch,196.2647729424412
49,5,form,153.51715560992074
49,6,specie,150.8247767026319
49,7,region,150.16441049094666
49,8,organic,147.03044785889168
49,9,grain,124.13851958816964
